Wavelength,50uM DMAP only,50uM Ebs only,25uM DMAP,50uM DMAP,75uM DMAP,100uM DMAP,200uM DMAP,300uM DMAP,400uM DMAP,500uM DMAP,600uM DMAP
277.68,0.2401,0.3792,0.5198,0.6499,0.8124,0.8871,1.1151,1.2305,1.4681,1.5225,1.5586
278.07,0.2354,0.3722,0.5109,0.6386,0.7995,0.8721,1.0988,1.2121,1.4536,1.5086,1.5469
278.46,0.231,0.3652,0.5022,0.6275,0.7873,0.8565,1.0825,1.1929,1.4387,1.4924,1.5324
278.85,0.2265,0.3588,0.4935,0.6158,0.7749,0.8416,1.0661,1.1741,1.4227,1.4766,1.5187
279.24,0.2224,0.3527,0.4851,0.6049,0.7623,0.8275,1.0496,1.1569,1.4105,1.4621,1.5075
279.63,0.2179,0.3463,0.4765,0.5942,0.7504,0.813,1.0309,1.139,1.3977,1.4465,1.4944
280.02,0.214,0.3402,0.4675,0.5829,0.7383,0.7989,1.0134,1.1211,1.3835,1.431,1.4792
280.41,0.2104,0.3339,0.4592,0.5725,0.7253,0.7843,0.9979,1.1024,1.3679,1.4184,1.466
280.8,0.2063,0.3279,0.4505,0.5624,0.7126,0.7703,0.9802,1.0828,1.3535,1.4014,1.4489
281.19,0.2029,0.3226,0.4429,0.5534,0.7017,0.7565,0.9642,1.0657,1.3381,1.3857,1.4342
281.58,0.199,0.3171,0.4353,0.5435,0.6904,0.7425,0.9475,1.0474,1.322,1.3684,1.414
281.97,0.1952,0.3112,0.4276,0.5332,0.6789,0.7285,0.9312,1.0286,1.3048,1.3489,1.3933
282.36,0.1907,0.306,0.4194,0.5233,0.6675,0.7149,0.9151,1.0106,1.2882,1.3316,1.3749
282.75,0.1866,0.3009,0.4111,0.5144,0.6559,0.7019,0.8989,0.9928,1.273,1.3142,1.359
283.14,0.1826,0.2957,0.4037,0.5052,0.6449,0.6891,0.8832,0.9751,1.2569,1.2963,1.3408
283.53,0.1786,0.2902,0.3964,0.496,0.634,0.676,0.8679,0.9574,1.2384,1.2775,1.3225
283.92,0.1752,0.2853,0.3896,0.4874,0.6231,0.6635,0.8537,0.9401,1.2224,1.2595,1.3048
284.31,0.1714,0.2801,0.3831,0.4791,0.6124,0.6507,0.8389,0.9221,1.2032,1.24,1.2855
284.7,0.1674,0.2754,0.3766,0.4704,0.6015,0.6385,0.8237,0.9057,1.1861,1.2195,1.2665
285.09,0.1638,0.2709,0.37,0.462,0.5913,0.6262,0.8092,0.8892,1.1691,1.2006,1.2478
285.48,0.1596,0.2666,0.3634,0.4528,0.5802,0.6144,0.7938,0.8708,1.1496,1.18,1.2272
285.87,0.1557,0.2628,0.3571,0.4446,0.5699,0.6028,0.7796,0.8534,1.1315,1.1617,1.2082
286.26,0.1521,0.2592,0.3508,0.4363,0.5596,0.591,0.7646,0.8361,1.1125,1.1431,1.1889
286.65,0.149,0.2551,0.3451,0.4284,0.5488,0.5788,0.7493,0.8187,1.0945,1.1227,1.167
287.04,0.1456,0.2519,0.3395,0.42,0.5384,0.5667,0.734,0.8015,1.0726,1.102,1.1446
287.43,0.1418,0.2484,0.3333,0.4117,0.5276,0.5548,0.718,0.7839,1.0521,1.0807,1.123
287.82,0.138,0.2451,0.3267,0.4029,0.5162,0.5423,0.7018,0.7659,1.0304,1.0566,1.0977
288.21,0.1341,0.2423,0.3207,0.3943,0.5055,0.5306,0.686,0.748,1.008,1.0336,1.0731
288.59,0.13,0.2393,0.3145,0.3858,0.4945,0.5185,0.6697,0.7301,0.9864,1.0097,1.0494
288.98,0.1262,0.2367,0.3086,0.3778,0.4843,0.5064,0.6533,0.711,0.9635,0.9854,1.0236
289.37,0.1221,0.2339,0.3027,0.3697,0.4735,0.4944,0.6368,0.692,0.9407,0.9603,0.9974
289.76,0.1184,0.2313,0.297,0.3619,0.4629,0.4821,0.6207,0.6738,0.9179,0.9348,0.9707
290.15,0.1146,0.2286,0.2915,0.3541,0.4521,0.4704,0.6042,0.6551,0.8934,0.909,0.9434
290.54,0.1105,0.2259,0.2859,0.3463,0.4415,0.4584,0.5876,0.6369,0.8696,0.8836,0.9163
